City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Nizhniy Odes,RU,2021-04-05 04:51:22,63.6445,54.856,29.68,84,48,3.33,scattered clouds
210,Svelgen,NO,2021-04-05 04:51:22,61.7685,5.2955,33.8,69,90,33.38,light snow
211,Najran,SA,2021-04-05 04:51:22,17.4924,44.1277,64.4,27,0,6.08,dust
212,Havelock,US,2021-04-05 04:51:22,34.8791,-76.9013,57.99,68,29,1.01,scattered clouds
213,Ossora,RU,2021-04-05 04:51:23,59.2353,163.0719,22.53,84,99,10.78,overcast clouds
214,Nhulunbuy,AU,2021-04-05 04:51:23,-12.2333,136.7667,87.8,48,75,10.36,broken clouds
215,Nivala,FI,2021-04-05 04:51:23,63.9167,24.9667,32.0,94,100,7.0,light snow
216,Victoria,HK,2021-04-05 04:46:44,22.2855,114.1577,75.0,81,100,1.99,overcast clouds
217,Artyom,AZ,2021-04-05 04:51:24,40.4723,50.333,55.4,88,20,20.71,few clouds
218,Ewa Beach,US,2021-04-05 04:50:28,21.3156,-158.0072,75.2,64,20,9.22,few clouds
219,Merauke,ID,2021-04-05 04:51:24,-8.4667,140.3333,84.94,68,51,6.96,broken clouds
220,Nalut,LY,2021-04-05 04:51:24,30.3333,10.85,71.91,15,90,11.7,overcast clouds
221,Sao Filipe,CV,2021-04-05 04:51:24,14.8961,-24.4956,73.2,72,0,8.01,clear sky
222,Ternate,ID,2021-04-05 04:51:25,0.8,127.4,84.7,68,25,11.14,scattered clouds
223,Arraial Do Cabo,BR,2021-04-05 04:51:25,-22.9661,-42.0278,75.07,70,26,6.24,scattered clouds
224,Kasongo,CD,2021-04-05 04:51:25,-4.45,26.6667,66.7,98,100,2.84,light rain
225,Teixoso,PT,2021-04-05 04:51:25,40.3145,-7.4576,50.0,39,0,11.99,clear sky
226,Duluth,US,2021-04-05 04:51:08,46.7833,-92.1066,41.0,75,1,5.79,clear sky
227,Kruisfontein,ZA,2021-04-05 04:51:26,-34.0033,24.7314,64.0,94,100,1.01,light rain
228,Keti Bandar,PK,2021-04-05 04:51:26,24.1447,67.4497,85.17,58,0,15.95,clear sky
229,Zhigansk,RU,2021-04-05 04:51:26,66.7697,123.3711,-1.39,82,100,6.64,overcast clouds
230,Belaya Gora,RU,2021-04-05 04:51:27,68.5333,146.4167,10.22,81,100,8.72,overcast clouds
231,Luanda,AO,2021-04-05 04:47:21,-8.8368,13.2343,77.0,88,40,2.3,scattered clouds
232,Catalao,BR,2021-04-05 04:51:25,-18.1658,-47.9464,67.32,84,96,4.36,overcast clouds
233,Praia,CV,2021-04-05 04:51:27,14.9215,-23.5087,77.0,27,0,20.71,clear sky
234,Thompson,CA,2021-04-05 04:51:27,55.7435,-97.8558,37.4,38,90,4.61,overcast clouds
235,Toamasina,MG,2021-04-05 04:51:28,-18.1667,49.3833,77.0,83,20,4.61,few clouds
236,George,ZA,2021-04-05 04:51:28,-33.963,22.4617,62.6,100,90,5.75,light rain
237,Giubega,RO,2021-04-05 04:51:28,44.1167,23.4167,41.0,93,90,5.75,overcast clouds
238,Nome,US,2021-04-05 04:51:28,64.5011,-165.4064,3.2,60,1,10.36,clear sky
239,Sur,OM,2021-04-05 04:51:29,22.5667,59.5289,89.44,36,5,2.73,clear sky
240,Araouane,ML,2021-04-05 04:51:29,18.9048,-3.5265,78.08,8,96,4.07,overcast clouds
241,Lashio,MM,2021-04-05 04:51:29,22.9333,97.75,88.39,23,91,1.68,overcast clouds
242,Alto Araguaia,BR,2021-04-05 04:51:29,-17.3147,-53.2153,69.98,60,68,4.32,broken clouds
243,Provideniya,RU,2021-04-05 04:51:30,64.3833,-173.3,8.6,61,0,2.24,clear sky
244,Conceicao Do Araguaia,BR,2021-04-05 04:51:30,-8.2578,-49.2647,74.61,88,88,2.86,overcast clouds
245,Villamontes,BO,2021-04-05 04:51:30,-21.25,-63.5,68.25,94,99,3.4,overcast clouds
246,Sechura,PE,2021-04-05 04:51:31,-5.5569,-80.8222,75.38,64,67,8.43,broken clouds
